  QueueTimes | ServiceTimes | SojournTimes

       2.067 |        4.510 |        6.576
       1.194 |        4.500 |        5.694
       1.206 |        4.512 |        5.718
       1.190 |        4.474 |        5.665
       1.211 |        4.473 |        5.684
       1.210 |        4.507 |        5.716
       1.219 |        4.497 |        5.716
       1.174 |        4.473 |        5.646
       1.356 |        4.505 |        5.862
       4.234 |        4.425 |        8.659
       1.211 |        4.505 |        5.716
       1.149 |        4.495 |        5.644
       1.247 |        4.492 |        5.739
       4.427 |        4.520 |        8.947
       6.258 |        4.471 |       10.730
      10.794 |        4.537 |       15.331
      12.643 |        4.472 |       17.115
       1.146 |        4.480 |        5.625
       5.849 |        4.484 |       10.333
       1.174 |        4.450 |        5.625
       1.198 |        4.535 |        5.733
       2.916 |        4.461 |        7.377
       1.199 |        4.501 |        5.701
       1.210 |        4.545 |        5.754
       1.226 |        4.514 |        5.739
       5.849 |        4.506 |       10.355
       2.682 |        4.504 |        7.186
       1.239 |        4.534 |        5.773
       4.601 |        4.485 |        9.087
       1.794 |        4.435 |        6.229
       1.199 |        4.457 |        5.656
       1.155 |        4.525 |        5.680
       1.207 |        4.493 |        5.700
       1.182 |        4.480 |        5.662
       1.148 |        4.480 |        5.628
       1.505 |        4.500 |        6.005
       1.197 |        4.503 |        5.700
       1.329 |        4.503 |        5.832
       5.444 |        4.554 |        9.998
       2.438 |        4.444 |        6.882
       6.023 |        4.443 |       10.467
       1.195 |        4.535 |        5.730
       1.183 |        4.433 |        5.615
       1.196 |        4.452 |        5.648
       1.277 |        4.546 |        5.823
       1.206 |        4.499 |        5.705
       2.143 |        4.471 |        6.614
       1.218 |        4.487 |        5.705
       1.204 |        4.521 |        5.726
       4.265 |        4.494 |        8.758
       1.187 |        4.503 |        5.690
       1.191 |        4.526 |        5.718
       1.240 |        4.461 |        5.701
       1.160 |        4.472 |        5.632
       5.266 |        4.490 |        9.756
       1.151 |        4.475 |        5.626
       2.366 |        4.619 |        6.985
       3.198 |        4.548 |        7.746
       1.878 |        4.454 |        6.332
       1.200 |        4.541 |        5.741
       5.833 |        4.505 |       10.338
       1.188 |        4.445 |        5.633
       1.150 |        4.513 |        5.664
       2.400 |        4.432 |        6.832
       1.193 |        4.471 |        5.664
       1.755 |        4.422 |        6.177
       6.170 |        4.699 |       10.870
       4.329 |        4.816 |        9.145
       1.211 |        4.765 |        5.977
       2.812 |        5.015 |        7.827
       7.112 |        4.897 |       12.009
       4.067 |        4.545 |        8.612
       1.819 |        4.483 |        6.302
       1.214 |        4.617 |        5.830
       4.471 |        4.434 |        8.906
