  QueueTimes | ServiceTimes | SojournTimes

       3.308 |        4.638 |        7.946
       1.247 |        4.551 |        5.798
       1.256 |        4.628 |        5.884
       1.271 |        4.686 |        5.957
       1.267 |        4.531 |        5.798
       1.266 |        4.532 |        5.798
       1.272 |        4.857 |        6.129
       1.275 |        5.104 |        6.379
       2.123 |        4.894 |        7.017
       5.347 |        4.669 |       10.016
       1.280 |        4.604 |        5.885
       1.196 |        4.568 |        5.764
       1.276 |        5.099 |        6.376
       5.093 |        4.724 |        9.817
       7.179 |        4.530 |       11.709
      11.807 |        4.575 |       16.382
      13.719 |        4.482 |       18.201
       1.264 |        4.688 |        5.952
       6.093 |        4.511 |       10.604
       1.305 |        4.642 |        5.947
       1.288 |        4.765 |        6.053
       3.269 |        4.626 |        7.895
       1.246 |        4.778 |        6.024
       1.426 |        4.575 |        6.001
       1.268 |        4.667 |        5.936
       6.093 |        4.826 |       10.919
       3.278 |        4.586 |        7.864
       1.259 |        4.798 |        6.057
       4.953 |        4.912 |        9.866
       2.569 |        4.791 |        7.361
       1.449 |        4.562 |        6.010
       1.253 |        4.624 |        5.877
       1.248 |        4.579 |        5.827
       1.275 |        4.562 |        5.837
       1.308 |        4.576 |        5.884
       1.272 |        4.728 |        6.000
       1.268 |        4.831 |        6.099
       1.231 |        4.650 |        5.881
       5.501 |        4.523 |       10.024
       2.461 |        4.456 |        6.917
       5.983 |        4.413 |       10.397
       1.189 |        4.489 |        5.679
       1.242 |        4.491 |        5.733
       1.222 |        4.504 |        5.726
       1.243 |        4.531 |        5.774
       1.191 |        4.571 |        5.762
       2.181 |        5.342 |        7.523
       1.221 |        4.483 |        5.704
       1.147 |        4.462 |        5.610
       4.183 |        4.455 |        8.638
       1.204 |        4.517 |        5.721
       1.207 |        4.501 |        5.708
       1.220 |        4.530 |        5.749
       1.190 |        4.518 |        5.708
       5.313 |        4.471 |        9.784
       1.149 |        4.521 |        5.670
       2.427 |        4.543 |        6.970
       3.188 |        4.552 |        7.740
       1.916 |        4.452 |        6.368
       1.189 |        4.528 |        5.717
       5.880 |        4.485 |       10.365
       1.215 |        4.491 |        5.705
       1.220 |        4.509 |        5.729
       2.470 |        4.485 |        6.955
       1.187 |        4.501 |        5.688
       1.864 |        4.453 |        6.317
       6.292 |        4.565 |       10.857
       4.309 |        4.406 |        8.715
       1.213 |        4.552 |        5.765
       2.634 |        4.498 |        7.133
       6.406 |        4.446 |       10.852
       2.833 |        4.525 |        7.358
       1.187 |        4.492 |        5.679
       1.216 |        4.523 |        5.739
       4.386 |        4.466 |        8.852
       1.201 |        4.476 |        5.677
       1.259 |        4.528 |        5.786
       1.529 |        4.476 |        6.005
       5.193 |        4.459 |        9.652
       1.191 |        4.471 |        5.662
       4.443 |        4.475 |        8.918
       1.169 |        4.477 |        5.646
       2.844 |        4.494 |        7.337
       1.223 |        4.481 |        5.704
       1.170 |        4.542 |        5.712
       4.828 |        4.497 |        9.325
       7.324 |        4.451 |       11.775
       7.458 |        4.434 |       11.892
       1.224 |        4.467 |        5.691
       1.234 |        4.481 |        5.715
       2.906 |        4.453 |        7.359
       1.220 |        4.503 |        5.723
       5.607 |        4.461 |       10.069
       1.245 |        4.504 |        5.749
       4.530 |        4.453 |        8.982
       1.234 |        4.480 |        5.714
       5.333 |        4.496 |        9.829
       1.191 |        4.562 |        5.754
       1.220 |        4.520 |        5.741
       1.260 |        4.551 |        5.811
       1.221 |        4.554 |        5.775
       1.252 |        4.505 |        5.756
       1.241 |        4.541 |        5.782
       1.737 |        4.479 |        6.217
       1.228 |        4.500 |        5.728
       1.242 |        4.547 |        5.788
       1.254 |        4.533 |        5.787
       1.231 |        4.540 |        5.771
       1.209 |        4.459 |        5.668
       1.249 |        4.542 |        5.792
       2.448 |        4.483 |        6.931
       1.265 |        4.512 |        5.776
       1.644 |        4.538 |        6.182
       1.238 |        4.543 |        5.782
       3.773 |        4.480 |        8.253
       1.259 |        4.580 |        5.839
       1.225 |        4.526 |        5.751
       5.794 |        4.507 |       10.302
       7.448 |        4.486 |       11.934
       6.859 |        4.486 |       11.345
       1.275 |        4.469 |        5.745
       1.187 |        4.506 |        5.693
       4.853 |        4.485 |        9.337
       1.159 |        4.495 |        5.653
