TBENCH_CLIENT_THREADS = 1
TBENCH_SERVER = 147.46.242.201
TBENCH_SERVER_PORT = 7313
TBENCH_MINSLEEPNS = 0
TBENCH_RANDSEED = 0
TBENCH_QPS = 1000
queue times, service times, sojorn times
latencies: 6.05156, 0.714183, 6.76575
latencies: 6.7232, 1.64974, 8.37294
latencies: 6.58765, 1.21992, 7.80756
latencies: 3.18594, 1.06987, 4.2558
latencies: 3.15431, 2.36828, 5.52258
latencies: 3.41537, 0.62663, 4.042
latencies: 4.04818, 0.890216, 4.93839
latencies: 2.95715, 1.11876, 4.07592
latencies: 2.43993, 1.9613, 4.40123
latencies: 3.46285, 2.11263, 5.57547
latencies: 4.22058, 1.35233, 5.57292
latencies: 3.17527, 1.05387, 4.22913
latencies: 3.82833, 1.36529, 5.19362
latencies: 3.41821, 1.31173, 4.72993
latencies: 2.2759, 1.57966, 3.85557
latencies: 2.76977, 1.33973, 4.10949
latencies: 2.57373, 1.16647, 3.74021
latencies: 2.59897, 1.76683, 4.3658
latencies: 1.94484, 1.81483, 3.75968
latencies: 2.62449, 0.928905, 3.5534
latencies: 3.00679, 0.991561, 3.99836
latencies: 2.24591, 2.94224, 5.18815
latencies: 2.0121, 2.85014, 4.86224
latencies: 4.716, 0.961737, 5.67774
latencies: 4.56431, 2.65017, 7.21448
latencies: 4.12354, 0.638694, 4.76223
latencies: 5.59474, 2.25074, 7.84548
latencies: 3.07976, 0.714311, 3.79407
latencies: 1.54134, 0.569669, 2.11101
latencies: 2.77178, 1.28558, 4.05736
latencies: 1.62854, 1.99125, 3.61979
latencies: 1.64225, 2.00866, 3.65091
latencies: 2.5428, 0.863816, 3.40662
latencies: 2.07107, 0.978313, 3.04938
latencies: 2.41095, 1.88779, 4.29874
latencies: 2.66736, 0.919977, 3.58734
latencies: 2.58106, 1.79903, 4.38008
latencies: 1.89159, 1.76027, 3.65187
latencies: 1.98917, 3.71136, 5.70053
latencies: 2.56771, 2.24248, 4.8102
latencies: 2.59699, 0.877512, 3.4745
latencies: 2.31586, 2.29055, 4.60641
latencies: 2.86824, 4.9931, 7.86135
latencies: 3.33523, 0.860168, 4.1954
latencies: 3.74403, 1.17889, 4.92292
latencies: 3.6225, 1.314, 4.9365
latencies: 4.40458, 1.16964, 5.57422
latencies: 3.73579, 0.302626, 4.03842
latencies: 3.41849, 1.93899, 5.35749
latencies: 4.061, 1.40811, 5.46911
latencies: 4.19476, 1.49409, 5.68886
latencies: 4.66023, 0.784359, 5.44459
latencies: 4.41742, 0.778023, 5.19544
latencies: 4.25982, 1.26404, 5.52387
latencies: 4.36474, 4.91793, 9.28267
latencies: 3.84559, 3.89143, 7.73702
latencies: 5.15989, 3.14835, 8.30824
latencies: 7.59959, 2.60294, 10.2025
