  QueueTimes | ServiceTimes | SojournTimes

       1.970 |        1.987 |        3.957
       0.897 |        0.728 |        1.625
       0.709 |        1.247 |        1.956
       0.805 |        2.217 |        3.023
       1.036 |        0.826 |        1.862
       0.932 |        1.441 |        2.373
       0.763 |        0.708 |        1.471
       0.987 |        1.062 |        2.049
       1.348 |        2.110 |        3.457
       1.439 |        1.731 |        3.170
       0.840 |        2.500 |        3.339
       0.740 |        1.624 |        2.364
       0.744 |        1.157 |        1.901
       0.762 |        1.624 |        2.385
       0.995 |        1.821 |        2.816
       0.778 |        1.401 |        2.179
       0.995 |        1.289 |        2.284
       0.766 |        2.227 |        2.993
       0.774 |        1.554 |        2.328
       0.893 |        1.154 |        2.047
       1.252 |        1.115 |        2.368
       1.350 |        0.928 |        2.278
       0.659 |        3.592 |        4.251
       0.889 |        4.516 |        5.405
       0.683 |        4.287 |        4.971
       4.291 |        2.103 |        6.394
       0.807 |        0.652 |        1.460
       0.779 |        0.720 |        1.499
       0.973 |        0.949 |        1.921
       0.770 |        0.599 |        1.368
       0.770 |        1.737 |        2.507
       0.756 |        2.845 |        3.601
       0.790 |        0.924 |        1.714
       0.706 |        1.835 |        2.542
       0.797 |        1.025 |        1.823
       0.771 |        0.829 |        1.600
       0.851 |        2.525 |        3.376
       0.779 |        3.604 |        4.383
       0.674 |        1.904 |        2.579
       0.811 |        2.737 |        3.548
       0.816 |        1.445 |        2.261
       0.739 |        4.656 |        5.395
       0.796 |        2.834 |        3.630
       0.749 |        0.866 |        1.616
       0.792 |        0.916 |        1.709
       0.971 |        1.136 |        2.108
       1.052 |        1.971 |        3.023
       0.875 |        2.003 |        2.877
       0.926 |        0.513 |        1.439
       0.747 |        1.254 |        2.001
       0.777 |        1.560 |        2.337
       0.899 |        0.846 |        1.746
       0.803 |        0.827 |        1.630
       0.969 |        5.112 |        6.081
       1.020 |        1.257 |        2.277
       0.859 |        2.822 |        3.680
       0.809 |        3.260 |        4.069
       1.072 |        4.897 |        5.969
       1.090 |        1.218 |        2.308
       1.248 |        3.639 |        4.887
       2.113 |        1.716 |        3.829
       0.745 |        5.587 |        6.332
       0.983 |        0.944 |        1.927
       1.009 |        1.098 |        2.108
       0.837 |        2.343 |        3.181
       0.734 |        1.769 |        2.503
       1.047 |        1.326 |        2.374
       1.044 |        1.180 |        2.223
       0.772 |        3.814 |        4.586
       1.132 |        0.943 |        2.075
       0.924 |        0.969 |        1.893
       0.853 |        0.845 |        1.698
       1.123 |        1.643 |        2.766
       0.852 |        2.770 |        3.621
       0.862 |        0.915 |        1.777
       0.860 |        1.207 |        2.067
       1.100 |        0.997 |        2.097
       0.734 |        0.918 |        1.652
       0.679 |        0.985 |        1.664
       0.657 |        3.037 |        3.694
       0.819 |        1.675 |        2.493
       0.771 |        0.797 |        1.567
       1.077 |        1.785 |        2.862
       1.139 |        2.505 |        3.643
       0.668 |        1.068 |        1.736
       0.676 |        1.686 |        2.362
       0.832 |        0.863 |        1.695
       2.583 |        1.741 |        4.323
       1.219 |        0.888 |        2.107
       2.167 |        4.163 |        6.329
       1.524 |        4.738 |        6.262
       0.867 |        0.790 |        1.657
       1.160 |        0.813 |        1.973
       1.140 |        1.868 |        3.008
       0.854 |        0.814 |        1.668
       0.857 |        0.850 |        1.707
       0.854 |        1.190 |        2.044
       1.031 |        1.841 |        2.871
       0.943 |        3.905 |        4.848
       1.952 |        0.899 |        2.851
       1.206 |        1.703 |        2.909
       0.850 |        3.315 |        4.165
       0.784 |        0.761 |        1.545
       0.901 |        2.239 |        3.140
       0.803 |        1.252 |        2.055
       1.045 |        1.006 |        2.051
       0.784 |        1.270 |        2.054
       0.857 |        2.556 |        3.413
       0.741 |        0.781 |        1.522
       1.191 |        1.874 |        3.066
       0.902 |        1.090 |        1.992
       0.820 |        1.078 |        1.899
       1.179 |        1.173 |        2.351
       1.151 |        1.222 |        2.374
       0.738 |        2.132 |        2.871
       1.927 |        1.236 |        3.164
       2.433 |        1.345 |        3.779
       0.790 |        1.479 |        2.269
       2.925 |        2.702 |        5.626
       0.846 |        2.542 |        3.387
       0.846 |        1.427 |        2.272
       0.818 |        0.883 |        1.700
       0.836 |        2.115 |        2.952
       2.187 |        1.276 |        3.463
       2.476 |        3.066 |        5.542
       0.921 |        1.000 |        1.921
       0.971 |        5.497 |        6.468
       0.735 |        4.607 |        5.342
       0.849 |        0.717 |        1.566
       0.760 |        0.769 |        1.529
       0.887 |        3.494 |        4.382
       1.095 |        4.240 |        5.336
       1.039 |        1.036 |        2.075
       0.964 |        1.012 |        1.977
       0.796 |        3.785 |        4.581
       0.756 |        1.030 |        1.787
       0.890 |        2.990 |        3.881
       0.868 |        2.420 |        3.288
       1.535 |        1.733 |        3.268
       1.136 |        1.663 |        2.799
       3.067 |        3.312 |        6.378
       0.953 |        1.173 |        2.126
       0.719 |        2.336 |        3.055
       1.005 |        3.627 |        4.632
       0.844 |        5.135 |        5.979
       0.854 |        2.447 |        3.301
       0.961 |        1.228 |        2.190
       0.810 |        1.057 |        1.867
       1.217 |        3.109 |        4.326
       0.805 |        3.733 |        4.538
       1.054 |        2.946 |        4.000
       0.896 |        2.052 |        2.948
       0.684 |        0.701 |        1.385
       1.154 |        1.431 |        2.585
       0.826 |        4.700 |        5.526
       1.138 |        0.724 |        1.862
       0.782 |        4.941 |        5.722
       0.816 |        7.809 |        8.625
       3.870 |        4.811 |        8.681
       3.733 |        4.719 |        8.452
       0.712 |        4.820 |        5.532
       3.133 |        1.343 |        4.476
       1.273 |        2.216 |        3.489
       0.789 |        0.756 |        1.544
       0.829 |        1.558 |        2.387
       0.899 |        1.302 |        2.200
       0.771 |        1.754 |        2.525
       2.133 |        1.480 |        3.614
       0.918 |        4.040 |        4.958
       0.951 |        2.012 |        2.964
       0.798 |        2.289 |        3.086
       2.150 |        0.722 |        2.873
       0.783 |        1.631 |        2.414
       1.024 |        1.497 |        2.521
       0.846 |        1.196 |        2.041
       1.480 |        2.710 |        4.190
       1.098 |        3.898 |        4.997
       2.511 |        2.079 |        4.591
       2.084 |        3.518 |        5.601
       2.617 |        1.576 |        4.193
       1.233 |        1.128 |        2.361
       1.442 |        1.522 |        2.963
       2.709 |        3.800 |        6.509
       1.441 |        1.295 |        2.736
       0.700 |        0.923 |        1.624
       0.769 |        0.646 |        1.415
       0.986 |        2.262 |        3.249
       0.839 |        1.342 |        2.181
       0.877 |        2.477 |        3.354
       0.853 |        3.525 |        4.378
       0.814 |        1.434 |        2.248
       1.038 |        4.102 |        5.141
       0.870 |        0.682 |        1.553
       0.790 |        1.430 |        2.220
       0.713 |        1.288 |        2.002
       0.847 |        1.117 |        1.964
       1.004 |        0.911 |        1.915
       1.045 |        1.428 |        2.472
       0.822 |        0.738 |        1.560
       0.749 |        3.227 |        3.977
       1.285 |        2.756 |        4.041
       2.869 |        1.565 |        4.435
       0.735 |        0.950 |        1.685
       0.929 |        5.952 |        6.881
       0.915 |        1.025 |        1.939
       1.383 |        1.883 |        3.265
       0.857 |        3.439 |        4.295
       0.794 |        3.581 |        4.375
       0.805 |        1.682 |        2.486
       0.782 |        3.141 |        3.924
       1.249 |        2.623 |        3.872
       3.007 |        2.568 |        5.575
       1.849 |       12.392 |       14.241
       0.919 |        2.627 |        3.546
       2.534 |        1.304 |        3.837
       1.044 |       14.893 |       15.937
       2.520 |        1.818 |        4.338
       2.563 |        1.223 |        3.786
       0.714 |        2.265 |        2.980
       1.005 |        1.965 |        2.970
       1.350 |        1.426 |        2.776
       0.774 |        1.229 |        2.003
       1.074 |        1.179 |        2.253
       1.753 |        0.981 |        2.735
       0.893 |        3.743 |        4.637
       2.527 |        3.008 |        5.535
       0.821 |        0.745 |        1.566
       0.799 |        1.248 |        2.047
       0.792 |        3.955 |        4.747
       0.771 |        0.653 |        1.425
       0.742 |        2.037 |        2.779
       0.770 |        2.488 |        3.258
       0.840 |        4.642 |        5.482
       0.829 |        1.069 |        1.899
       0.798 |        1.583 |        2.380
       0.879 |        2.278 |        3.156
       1.039 |        0.638 |        1.676
       0.693 |        1.110 |        1.802
       0.833 |        4.150 |        4.984
       0.851 |        1.775 |        2.626
       0.828 |        2.256 |        3.084
       0.805 |        2.212 |        3.017
       0.782 |        1.991 |        2.773
       0.855 |        0.791 |        1.646
       0.869 |        4.305 |        5.174
       0.856 |        1.374 |        2.230
